Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
379;12100157208;"Journal of Economics and Finance";journal;"10550925, 19389744";0,310;Q3;27;55;137;2123;118;136;0,68;38,60;United States;Northern America;"Springer New York";"1992-2020";"Economics and Econometrics (Q3); Finance (Q3)"
380;12100155919;"Journal of Financial Counseling and Planning";journal;"19477910, 10523073";0,309;Q3;38;26;60;1149;90;57;1,40;44,19;United States;Northern America;"Springer Publishing Company";"1990-1991, 1993-2019";"Economics and Econometrics (Q3); Finance (Q3)"
381;5000153701;"Risk Management and Insurance Review";journal;"15406296, 10981616";0,309;Q3;15;16;47;871;37;45;0,79;54,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2006-2020";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
382;26829;"Studies on Russian Economic Development";journal;"10757007, 15318664";0,309;Q3;12;90;251;1515;275;249;1,17;16,83;Russian Federation;Eastern Europe;"Pleiades Publishing";"1993, 1995, 2006-2020";"Economics and Econometrics (Q3)"
383;21100797723;"World Competition";journal;"18758436, 10114548";0,302;Q3;4;22;77;410;17;66;0,23;18,64;Netherlands;Western Europe;"Kluwer Law International";"2016-2019";"Law (Q2); Economics and Econometrics (Q3)"
384;7100153137;"Transformations in Business and Economics";journal;"16484460";0,300;Q3;18;94;272;4203;320;259;1,51;44,71;Lithuania;Eastern Europe;"Vilnius University Press";"2006-2019";"Business and International Management (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Marketing (Q3)"
385;21100774786;"Journal of Financial Economic Policy";journal;"17576385, 17576393";0,297;Q3;8;57;84;2725;96;84;0,84;47,81;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2020";"Economics and Econometrics (Q3); Finance (Q3)"
386;21100820733;"International Organisations Research Journal";journal;"19967845, 25422081";0,295;Q3;5;42;123;1463;78;121;0,72;34,83;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2015-2019";"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Finance (Q3)"
387;21100211748;"Scienze Regionali";journal;"17203929, 2035603X";0,295;Q3;13;37;84;1404;63;57;1,21;37,95;Italy;Western Europe;"Societa Editrice Il Mulino";"2012-2020";"Urban Studies (Q2); Economics and Econometrics (Q3); Food Animals (Q3); Geography, Planning and Development (Q3); Public Administration (Q3)"
388;14089;"Developing Economies";journal;"00121533, 17461049";0,294;Q3;26;11;40;478;30;39;0,71;43,45;United States;Northern America;"Wiley-Blackwell";"1962-2020";"Development (Q3); Economics and Econometrics (Q3)"
389;19200157025;"Engineering Economics";journal;"13922785";0,292;Q3;27;51;172;2737;206;172;1,14;53,67;Lithuania;Eastern Europe;"Kauno Technologijos Universitetas";"2008-2020";"Engineering (miscellaneous) (Q2); Business and International Management (Q3); Economics and Econometrics (Q3)"
390;21100867943;"International Journal of Ethics and Systems";journal;"25149369";0,292;Q3;17;48;97;2855;136;95;1,31;59,48;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2020";"Philosophy (Q1); Economics and Econometrics (Q3)"
391;21100312008;"Journal of Financial Management of Property and Construction";journal;"17598443, 13664387";0,289;Q3;19;22;62;1372;78;53;1,53;62,36;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2020";"Accounting (Q3); Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3)"
392;21100901140;"Journal of Innovation and Entrepreneurship";journal;"21925372";0,289;Q3;10;6;35;293;71;33;2,15;48,83;Germany;Western Europe;"Springer Open";"2014-2015, 2017-2020";"Sociology and Political Science (Q2); Economics and Econometrics (Q3); Information Systems (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)"
393;18881;"Australian Economic Review";journal;"00049018, 14678462";0,287;Q3;27;45;135;1230;113;125;0,90;27,33;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1968-2020";"Economics and Econometrics (Q3)"
394;19700170095;"Irish Studies in International Affairs";journal;"03321460, 20090072";0,287;Q3;8;50;44;1027;26;42;0,77;20,54;Ireland;Western Europe;"Royal Irish Academy";"2009-2019";"Political Science and International Relations (Q2); Development (Q3); Economics and Econometrics (Q3)"
395;21100922103;"Technology and Economics of Smart Grids and Sustainable Energy";journal;"21994706";0,287;Q3;7;16;56;620;98;56;1,35;38,75;Singapore;Asiatic Region;"Springer Singapore";"2016-2020";"Economics and Econometrics (Q3); Electrical and Electronic Engineering (Q3); Energy (miscellaneous) (Q3); Renewable Energy, Sustainability and the Environment (Q3)"
396;29064;"Engineering Economist";journal;"0013791X, 15472701";0,286;Q3;31;26;59;945;52;53;1,03;36,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1955-2020";"Engineering (miscellaneous) (Q2); Economics and Econometrics (Q3); Education (Q3)"
397;11900154315;"Letters in Spatial and Resource Sciences";journal;"18644031, 1864404X";0,286;Q3;13;21;80;621;79;79;0,85;29,57;Germany;Western Europe;"Springer Verlag";"2008-2020";"Demography (Q2); Urban Studies (Q2); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)"
398;19300156810;"Asia-Pacific Journal of Accounting and Economics";journal;"21642257, 16081625";0,283;Q3;12;95;116;4474;117;83;1,23;47,09;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000, 2009-2020";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
399;19700176302;"Journal of Entrepreneurship Education";journal;"15282651, 10988394";0,283;Q3;14;167;169;4951;286;169;1,62;29,65;United States;Northern America;"Allied Academies";"2009-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Education (Q3); Strategy and Management (Q3)"
400;19700175212;"Revista Espanola de Financiacion y Contabilidad";journal;"02102412, 23320753";0,283;Q3;16;35;62;2303;78;59;1,33;65,80;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
401;19458;"Eastern European Economics";journal;"15579298, 00128775";0,282;Q3;19;28;75;1097;78;72;1,04;39,18;United States;Northern America;"Taylor and Francis Ltd.";"1977, 1982, 1996-2020";"Economics and Econometrics (Q3)"
402;12008;"Teruleti Statisztika";journal;"20648251, 00187828";0,281;Q3;4;19;74;902;43;71;0,61;47,47;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"1980, 1982-1983, 1985, 2016-2019";"Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Statistics and Probability (Q4)"
403;21100200807;"International Journal of Monetary Economics and Finance";journal;"17520487, 17520479";0,280;Q3;9;30;87;1189;86;78;1,15;39,63;Switzerland;Western Europe;"Inderscience Publishers";"2011-2019";"Economics and Econometrics (Q3); Finance (Q3)"
404;17500155141;"International Review on Public and Nonprofit Marketing";journal;"18651992, 18651984";0,279;Q3;13;11;76;781;98;74;1,21;71,00;Germany;Western Europe;"Springer Verlag";"2001, 2009-2020";"Economics and Econometrics (Q3); Marketing (Q3)"
405;23717;"International Journal of Social Economics";journal;"03068293";0,278;Q3;37;103;339;5476;336;336;0,86;53,17;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1974-2020";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
406;19700180906;"International Journal of Economic Theory";journal;"17427355, 17427363";0,275;Q3;10;44;80;1072;24;64;0,44;24,36;United States;Northern America;"Wiley-Blackwell";"2009-2020";"Economics and Econometrics (Q3)"
407;21100782865;"Real Estate Management and Valuation";journal;"23005289";0,275;Q3;7;40;105;1482;84;105;0,99;37,05;Germany;Western Europe;"De Gruyter Open Ltd.";"2014-2019";"Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3); Strategy and Management (Q3)"
408;5600153635;"Risk Management";journal;"17434637, 14603799";0,275;Q3;13;15;38;705;49;36;1,48;47,00;United States;Northern America;"Palgrave Macmillan Ltd.";"2009-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Strategy and Management (Q3)"
409;7600153108;"Hacienda Publica Espanola";journal;"02101173";0,274;Q3;11;19;64;917;32;64;0,52;48,26;Spain;Western Europe;"Instituto de Estudios Fiscales";"2007-2019";"Economics and Econometrics (Q3); Finance (Q3)"
410;11700154320;"Journal of Developmental Entrepreneurship";journal;"1793706X, 10849467";0,273;Q3;23;31;92;1773;84;79;1,09;57,19;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2008-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Strategy and Management (Q3)"
411;21100793212;"Sovremennaya Evropa";journal;"02017083";0,272;Q3;4;89;299;1536;42;297;0,14;17,26;Russian Federation;Eastern Europe;"Institute of Europe of Russian Academy of Sciences";"2016-2019";"Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
412;21100829239;"Applied Econometrics";journal;"19937601, 24106445";0,271;Q3;6;16;78;554;37;78;0,44;34,63;Russian Federation;Eastern Europe;"Sinergia Press";"2009-2019";"Economics and Econometrics (Q3)"
413;20126;"Ekonomicky Casopis";journal;"00133035";0,271;Q3;16;50;154;2238;103;154;0,65;44,76;Slovakia;Eastern Europe;"Slovak Academic Press Ltd";"1978-2019";"Economics and Econometrics (Q3)"
414;28440;"Comparative Economic Studies";journal;"08887233";0,270;Q3;18;39;84;1583;74;81;0,71;40,59;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996, 2008-2020";"Economics and Econometrics (Q3)"
415;5800170936;"Legal Issues of Economic Integration";journal;"15666573";0,269;Q3;10;17;71;661;16;69;0,22;38,88;Netherlands;Western Europe;"Kluwer Law International";"2012-2019";"Law (Q2); Economics and Econometrics (Q3)"
416;20500195027;"Spanish Review of Financial Economics";journal;"21731268";0,269;Q3;7;0;16;0;15;16;0,38;0,00;Spain;Western Europe;"Elsevier Doyma";"2011-2017";"Economics and Econometrics (Q3); Finance (Q3)"
417;19700175174;"Academy of Entrepreneurship Journal";journal;"10879595, 15282686";0,267;Q3;11;108;96;4203;138;96;1,47;38,92;United States;Northern America;"Allied Academies";"2009-2019";"Business and International Management (Q3); Economics and Econometrics (Q3); Strategy and Management (Q3)"
418;21100889419;"Annals of Actuarial Science";journal;"17484995, 17485002";0,266;Q3;2;33;23;1050;13;21;0,62;31,82;United Kingdom;Western Europe;"Cambridge University Press";"2018-2020";"Economics and Econometrics (Q3); Statistics, Probability and Uncertainty (Q3); Statistics and Probability (Q4)"
419;5600153382;"Journal of the Economic and Social History of the Orient";journal;"00224995";0,266;Q3;25;30;79;2148;28;79;0,22;71,60;Netherlands;Western Europe;"Brill Academic Publishers";"1957, 1959-1976, 1978-2020";"History (Q1); Sociology and Political Science (Q2); Economics and Econometrics (Q3)"
420;21100464774;"Journal of Operational Risk";journal;"17446740, 17552710";0,264;Q3;11;16;48;572;34;48;0,48;35,75;United States;Northern America;"Incisive Media Ltd.";"2011-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3)"
421;12100155623;"Forum for Social Economics, The";journal;"18746381, 07360932";0,262;Q3;6;36;100;1562;53;60;0,80;43,39;United States;Northern America;"Taylor and Francis Inc.";"1971, 1975-1998, 2004, 2012-2020";"Sociology and Political Science (Q2); Economics and Econometrics (Q3)"
422;24200;"Review of Black Political Economy";journal;"00346446";0,261;Q3;15;25;65;1168;29;65;0,35;46,72;United States;Northern America;"Springer New York";"1970-2020";"Cultural Studies (Q1); Economics and Econometrics (Q3)"
423;14500154708;"Statistical Journal of the IAOS";journal;"18747655";0,261;Q3;14;66;266;1821;77;198;0,31;27,59;Netherlands;Western Europe;"IOS Press";"2007-2009, 2011-2019";"Economics and Econometrics (Q3); Management Information Systems (Q3); Statistics, Probability and Uncertainty (Q3)"
424;28408;"Australian Economic History Review";journal;"14678446, 00048992";0,260;Q3;15;17;51;1050;19;46;0,34;61,76;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1983-1984, 1988, 1990-1991, 1993-2001, 2006-2020";"History (Q1); Economics and Econometrics (Q3)"
425;21100406921;"Statistika";journal;"18048765, 0322788X";0,260;Q3;4;37;82;710;47;81;0,49;19,19;Czech Republic;Eastern Europe;"Czech Statistical Office";"2015-2019";"Economics and Econometrics (Q3); Statistics, Probability and Uncertainty (Q3)"
426;19700173245;"Journal of Legal, Ethical and Regulatory Issues";journal;"15440036, 15440044";0,258;Q3;10;295;214;7656;134;214;0,67;25,95;United States;Northern America;"Allied Academies";"2009-2020";"Law (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Economics and Econometrics (Q3); Strategy and Management (Q3)"
427;5700164067;"Prague Economic Papers";journal;"12100455";0,257;Q3;14;38;130;1281;103;129;0,83;33,71;Czech Republic;Eastern Europe;"University of Economics - Prague";"2008-2020";"Economics and Econometrics (Q3); Finance (Q3)"
428;24206;"Review of Financial Economics";journal;"10583300, 18735924";0,257;Q3;38;42;78;2139;91;74;0,93;50,93;United States;Northern America;"John Wiley &amp; Sons Inc.";"1994-2020";"Economics and Econometrics (Q3); Finance (Q3)"
429;19700201312;"Macroeconomics and Finance in Emerging Market Economies";journal;"17520843, 17520851";0,255;Q3;8;19;47;546;31;46;0,50;28,74;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Economics and Econometrics (Q3); Finance (Q3)"
430;4900152713;"Revista de Economia e Sociologia Rural";journal;"01032003";0,255;Q3;15;40;116;1734;41;115;0,27;43,35;Brazil;Latin America;"Sociedade Brasileira de Economia e Sociologia Rural";"2006-2019";"Social Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q3); Economics and Econometrics (Q3); Forestry (Q3)"
431;21100814032;"Cogent Economics and Finance";journal;"23322039";0,252;Q3;11;128;263;6114;284;255;1,10;47,77;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Economics and Econometrics (Q3); Finance (Q3)"
432;20001;"Economic Notes";journal;"14680300, 03915026";0,251;Q3;19;33;60;1289;54;56;0,92;39,06;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2020";"Economics and Econometrics (Q3)"
433;21100901572;"UCJC Business and Society Review";journal;"26593270";0,248;Q3;14;16;51;495;41;51;0,32;30,94;Spain;Western Europe;"Universia Holding";"2018-2019";"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Finance (Q3)"
434;15089;"Finance a Uver - Czech Journal of Economics and Finance";journal;"00151920";0,242;Q3;18;24;76;1083;67;72;0,79;45,13;Czech Republic;Eastern Europe;"Faculty of Social Sciences Charles University";"1996-2019";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
435;4000149502;"International Journal of Product Development";journal;"14779056, 17418178";0,238;Q3;25;19;43;962;35;43;0,96;50,63;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2005-2019";"Business and International Management (Q3); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
436;21100427221;"Journal of Central Banking Theory and Practice";journal;"18009581, 23369205";0,238;Q3;6;30;78;874;103;78;1,36;29,13;Germany;Western Europe;"de Gruyter";"2014-2020";"Economics and Econometrics (Q3); Finance (Q3); Strategy and Management (Q3)"
437;22273;"Peace Economics, Peace Science and Public Policy";journal;"15548597, 10792457";0,238;Q3;15;29;81;1237;53;77;0,54;42,66;Germany;Western Europe;"Walter de Gruyter GmbH";"1994-1996, 1999-2020";"Political Science and International Relations (Q2); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3); Sociology and Political Science (Q3)"
438;19900192126;"Journal of Comparative Asian Development";journal;"15339114, 21505403";0,237;Q3;10;8;34;379;26;32;0,72;47,38;United Kingdom;Western Europe;"Routledge";"2010-2019";"Political Science and International Relations (Q2); Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
439;17700156758;"International Journal of Disclosure and Governance";journal;"17413591, 17466539";0,236;Q3;16;15;59;1008;55;58;0,84;67,20;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2020";"Accounting (Q3); Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Strategy and Management (Q3)"
440;21100775631;"IZA Journal of European Labor Studies";journal;"21939012";0,236;Q3;14;0;24;0;24;24;0,00;0,00;United Kingdom;Western Europe;"Springer Open";"2012-2017";"Economics and Econometrics (Q3); Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3)"
441;21100775078;"Qualitative Research in Financial Markets";journal;"17554187, 17554179";0,236;Q3;14;43;59;2771;73;59;1,15;64,44;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2020";"Economics and Econometrics (Q3); Finance (Q3)"
442;24884;"Scottish Journal of Political Economy";journal;"14679485, 00369292";0,236;Q3;46;43;77;1780;54;75;0,71;41,40;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1954-2020";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
443;24257;"Asian-Pacific Economic Literature";journal;"08189935, 14678411";0,235;Q3;21;17;47;740;38;45;0,79;43,53;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2020";"Development (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)"
444;21100892908;"PSL Quarterly Review";journal;"20373643, 20373635";0,232;Q3;2;11;20;481;10;20;0,50;43,73;Italy;Western Europe;"Economia Civile";"2018-2019";"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3)"
445;21100845633;"Journal of Southeast Asian Economies";journal;"23395095, 23395206";0,230;Q3;3;24;53;943;25;49;0,51;39,29;Singapore;Asiatic Region;"ISEAS - Yusof Ishak Institute";"2017-2019";"Economics and Econometrics (Q3); Finance (Q3); Political Science and International Relations (Q3)"
446;21100286923;"Journal of Advanced Research in Law and Economics";journal;"2068696X";0,229;Q3;13;55;828;1520;885;828;1,02;27,64;Romania;Eastern Europe;"ASERS Publishing";"2011-2019";"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Political Science and International Relations (Q3)"
447;20314;"Journal of Institutional and Theoretical Economics";journal;"09324569";0,228;Q3;34;42;121;1153;30;79;0,35;27,45;Germany;Western Europe;"JCB Mohr";"1992-1993, 1996-2020";"Economics and Econometrics (Q3)"
448;23718;"International Journal of the Economics of Business";journal;"14661829, 13571516";0,227;Q3;33;27;64;1181;40;60;0,70;43,74;United Kingdom;Western Europe;"Routledge";"1994-2020";"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3)"
449;21100464708;"Journal of Credit Risk";journal;"17559723, 17446619";0,227;Q3;8;10;44;230;31;44;0,64;23,00;United States;Northern America;"Incisive Media Ltd.";"2011-2019";"Economics and Econometrics (Q3); Finance (Q3)"
450;11700154333;"Journal of Alternative Investments";journal;"15203255";0,225;Q3;14;0;96;0;57;82;0,78;0,00;United States;Northern America;"Portfolio Management Research";"2007-2018";"Economics and Econometrics (Q3); Finance (Q3)"
451;18300156729;"Applied Econometrics and International Development";journal;"15784487";0,224;Q3;9;12;60;378;24;60;0,37;31,50;Spain;Western Europe;"Euro-American Association of Economic Development Studies";"2009-2019";"Development (Q3); Economics and Econometrics (Q3); Finance (Q3); Political Science and International Relations (Q3)"
452;81032;"Japanese Economic Review";journal;"13524739, 14685876";0,224;Q3;26;53;74;1637;36;72;0,43;30,89;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-2020";"Economics and Econometrics (Q3)"
453;17700156014;"Travail, Genre et Societes";journal;"12946303";0,224;Q3;14;29;116;696;30;111;0,26;24,00;France;Western Europe;"Editions La Decouverte";"2001-2019";"Business and International Management (Q3); Economics and Econometrics (Q3); Gender Studies (Q3); Organizational Behavior and Human Resource Management (Q3); Sociology and Political Science (Q3)"
454;19571;"Journal of Media Economics";journal;"08997764, 15327736";0,222;Q3;30;0;29;0;28;24;1,17;0,00;United States;Northern America;"Routledge";"1988-2017";"Communication (Q3); Economics and Econometrics (Q3)"
455;26486;"Sociologia del Lavoro";journal;"03925048";0,222;Q3;3;38;151;1641;31;147;0,18;43,18;Italy;Western Europe;"FrancoAngeli Edizioni";"1992, 1996, 2016-2019";"Economics and Econometrics (Q3); Organizational Behavior and Human Resource Management (Q3); Sociology and Political Science (Q3)"
456;11800154541;"Econ Journal Watch";journal;"1933527X";0,221;Q3;15;18;85;716;36;76;0,40;39,78;United States;Northern America;"Institute of Spontaneous Order Economics";"2008-2019";"Economics and Econometrics (Q3)"
457;19300157038;"Journal of Australian Political Economy";journal;"01565826";0,221;Q3;13;13;51;840;26;34;0,63;64,62;Australia;Pacific Region;"University of Sydney";"2008-2019";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
458;22290;"Business & professional ethics journal";journal;"21537828, 02772027";0,220;Q3;2;15;10;672;4;10;0,40;44,80;United States;Northern America;"Philosophy Documentation Center";"1979, 1985, 1990-1993, 1996, 1998-1999, 2001, 2018-2020";"Philosophy (Q2); Business and International Management (Q3); Economics and Econometrics (Q3)"
459;21100198938;"Fuzzy Economic Review";journal;"11360593";0,220;Q3;9;3;24;182;20;24;0,80;60,67;Spain;Western Europe;"SIGEF International Association for Fuzzy-Set Management and Economy";"2002-2019";"Economics and Econometrics (Q3)"
460;21100855999;"Journal of Eastern European and Central Asian Research";journal;"23288280, 23288272";0,219;Q3;3;27;52;962;17;49;0,42;35,63;United States;Northern America;"Institute of Eastern Europe and Central Asia";"2014-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)"
461;5400152653;"World Review of Entrepreneurship, Management and Sustainable Development";journal;"17460581, 17460573";0,218;Q3;14;40;112;2622;76;109;0,69;65,55;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2007-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Renewable Energy, Sustainability and the Environment (Q4)"
462;4700152413;"International Journal of Entrepreneurship and Innovation Management";journal;"17415098, 1368275X";0,217;Q3;22;32;88;2192;83;85;1,13;68,50;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2002, 2006-2020";"Business and International Management (Q3); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
463;11700154393;"Journal of Fixed Income";journal;"10598596";0,216;Q3;12;0;90;0;17;77;0,19;0,00;United States;Northern America;"Portfolio Management Research";"2008-2018";"Economics and Econometrics (Q3); Finance (Q3)"
464;24982;"Singapore Economic Review";journal;"02175908";0,216;Q3;15;141;226;4827;133;177;0,89;34,23;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1983-2020";"Economics and Econometrics (Q3)"
465;17700155712;"Revue Francaise de Gestion";journal;"03384551";0,215;Q3;17;36;224;1249;53;214;0,20;34,69;France;Western Europe;"Lavoisier";"2002-2019";"Business and International Management (Q3); Economics and Econometrics (Q3); Strategy and Management (Q3)"
466;21100205707;"German Journal of Agricultural Economics";journal;"00021121, 21914028";0,214;Q3;10;29;69;1221;24;69;0,44;42,10;Germany;Western Europe;"Deutscher Fachverlag GmbH";"2011-2019";"Agricultural and Biological Sciences (miscellaneous) (Q3); Economics and Econometrics (Q3)"
467;19700201637;"Foundations and Trends in Econometrics";journal;"15513076, 15513084";0,213;Q3;11;1;3;232;3;3;0,50;232,00;United States;Northern America;"Now Publishers Inc";"2005-2006, 2009-2019";"Economics and Econometrics (Q3)"
468;27142;"Indian Economic and Social History Review";journal;"09730893, 00194646";0,213;Q3;18;19;57;995;34;54;0,46;52,37;United Kingdom;Western Europe;"SAGE Publications Ltd";"1963-2020";"History (Q1); Economics and Econometrics (Q3); Social Sciences (miscellaneous) (Q3)"
469;11200153526;"Studies in Economics and Finance";journal;"10867376";0,213;Q3;17;62;100;2713;91;98;0,95;43,76;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1977-1987, 1989-1991, 1993-1998, 2002-2004, 2006-2020";"Economics and Econometrics (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Finance (Q3)"
470;29413;"Energy Studies Review";journal;"08434379";0,211;Q3;4;0;4;0;2;4;0,00;0,00;Canada;Northern America;"McMaster University";"1991-1995, 2008, 2010-2016";"Economics and Econometrics (Q3); Energy (miscellaneous) (Q3); Environmental Engineering (Q3)"
471;21100198723;"International Journal of Economic Policy in Emerging Economies";journal;"17520452, 17520460";0,211;Q3;9;44;99;1535;52;79;0,55;34,89;Switzerland;Western Europe;"Inderscience Publishers";"2011-2019";"Economics and Econometrics (Q3)"
472;21081;"Contributions to Political Economy";journal;"14643588, 02775921";0,210;Q3;19;5;19;111;6;19;0,15;22,20;United Kingdom;Western Europe;"Oxford University Press";"1982-2003, 2005-2019";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
473;19455;"Eastern Economic Journal";journal;"00945056, 19394632";0,207;Q3;21;41;121;1506;58;114;0,49;36,73;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1984-1985, 1987-1989, 2007-2020";"Economics and Econometrics (Q3)"
474;21100228533;"Regional Science Inquiry";journal;"17917735, 17915961";0,207;Q3;5;28;111;918;34;104;0,36;32,79;Greece;Western Europe;"Hellenic Association of Regional Scientists";"2012-2019";"Development (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)"
475;21100840076;"Journal of Economic Development";journal;"02548372";0,206;Q3;3;20;40;875;22;40;0,55;43,75;South Korea;Asiatic Region;"Economic Research Institute of Chung-Ang University";"2017-2019";"Economics and Econometrics (Q3); Finance (Q3)"
476;144934;"Portuguese Economic Journal";journal;"1617982X";0,206;Q3;12;16;34;727;27;30;0,89;45,44;Germany;Western Europe;"Springer Verlag";"2005-2020";"Economics and Econometrics (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)"
477;22371;"Hitotsubashi Journal of Economics";journal;"0018280X";0,202;Q4;10;10;31;276;20;31;0,80;27,60;Japan;Asiatic Region;"Hitotsubashi University";"1996-2019";"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q4)"
478;19500157309;"Zbornik Radova Ekonomskog Fakultet au Rijeci";journal;"18467520, 13318004";0,202;Q3;10;33;78;1642;60;77;0,63;49,76;Croatia;Eastern Europe;"Sveucilicte u Rijeci, Economiski Fakultet";"2008-2019";"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q4)"
479;21100913561;"Swiss Journal of Economics and Statistics";journal;"22356282";0,200;Q4;3;17;37;706;18;35;0,51;41,53;United Kingdom;Western Europe;"Springer Open";"2017-2020";"Economics and Econometrics (Q4); Statistics and Probability (Q4)"
480;144792;"Geographie Economie Societe";journal;"1295926X";0,198;Q4;12;6;66;389;20;60;0,18;64,83;France;Western Europe;"Lavoisier";"2004-2019";"Geography, Planning and Development (Q3); Economics and Econometrics (Q4)"
481;17700156204;"International Journal of Applied Decision Sciences";journal;"17558085, 17558077";0,198;Q4;17;21;66;1216;64;66;0,89;57,90;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2009-2020";"Information Systems and Management (Q3); Strategy and Management (Q3); Economics and Econometrics (Q4); Management Science and Operations Research (Q4)"
482;21100865012;"Economia Agro-Alimentare";journal;"19724802, 11261668";0,197;Q4;8;26;66;1074;44;57;0,88;41,31;Italy;Western Europe;"FrancoAngeli Edizioni";"2012-2019";"Agricultural and Biological Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q3); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Food Animals (Q4); Food Science (Q4); Management, Monitoring, Policy and Law (Q4)"
