Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
209;22903;"Oxford Economic Papers";journal;"00307653, 14643812";0,743;Q2;65;49;163;2123;203;161;1,04;43,33;United Kingdom;Western Europe;"Oxford University Press";"1938-1942, 1945, 1947, 1949-2019";"Economics and Econometrics (Q2)"
210;20109;"Macroeconomic Dynamics";journal;"14698056, 13651005";0,740;Q2;43;212;281;6474;231;231;0,90;30,54;United Kingdom;Western Europe;"Cambridge University Press";"1997-2020";"Economics and Econometrics (Q2)"
211;19700201635;"China Agricultural Economic Review";journal;"1756137X, 17561388";0,732;Q2;19;56;124;2379;229;122;1,79;42,48;United Kingdom;Western Europe;"Emarald Group Publishing Ltd";"2008-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2)"
212;19400158573;"Journal of Pension Economics and Finance";journal;"14747472, 14753022";0,719;Q2;26;51;68;1545;105;61;1,72;30,29;United Kingdom;Western Europe;"Cambridge University Press";"2002-2020";"Economics and Econometrics (Q2); Finance (Q2); Organizational Behavior and Human Resource Management (Q2)"
213;21100838016;"Quarterly Journal of Finance";journal;"20101406, 20101392";0,709;Q2;16;22;61;897;61;60;1,03;40,77;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2011-2020";"Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2)"
214;29035;"Open Economies Review";journal;"09237992, 1573708X";0,707;Q2;31;58;137;2162;208;132;1,26;37,28;Netherlands;Western Europe;"Springer Netherlands";"1990-2020";"Economics and Econometrics (Q2)"
215;21100456777;"Journal of Demographic Economics";journal;"20540892, 20540906";0,703;Q2;7;13;50;557;60;47;1,09;42,85;United Kingdom;Western Europe;"Cambridge University Press";"2015-2020";"Demography (Q1); Geography, Planning and Development (Q1); Economics and Econometrics (Q2)"
216;21100372152;"Journal of Behavioral and Experimental Economics";journal;"22148051, 22148043";0,695;Q2;57;101;233;4907;363;228;1,41;48,58;United States;Northern America;"Elsevier Inc.";"2014-2020";"Social Sciences (miscellaneous) (Q1); Applied Psychology (Q2); Economics and Econometrics (Q2)"
217;18900;"Journal of Transport Economics and Policy";journal;"17545951, 00225258";0,695;Q2;52;13;47;434;75;47;1,15;33,38;United Kingdom;Western Europe;"University of Bath";"1982-1990, 1994-2019";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Transportation (Q2)"
218;21100446929;"European Actuarial Journal";journal;"21909741, 21909733";0,693;Q2;10;35;64;719;70;60;1,12;20,54;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2020";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)"
219;16509;"Journal of Futures Markets";journal;"10969934, 02707314";0,693;Q2;50;87;191;3614;316;182;1,67;41,54;United States;Northern America;"Wiley-Liss Inc.";"1981-2020";"Business, Management and Accounting (miscellaneous) (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
220;53554;"Australian Journal of Agricultural and Resource Economics";journal;"1364985X, 14678489";0,689;Q2;46;49;129;2687;174;108;1,63;54,84;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2)"
221;19700182739;"Review of Development Finance";journal;"18799337";0,687;Q2;16;0;32;0;108;32;1,62;0,00;South Africa;Africa;"Africagrowth Institute";"2011-2018";"Economics and Econometrics (Q2); Finance (Q2)"
222;12975;"Economic Systems";journal;"09393625";0,685;Q2;36;32;143;1550;316;141;1,87;48,44;Netherlands;Western Europe;"Elsevier";"2001-2020";"Economics and Econometrics (Q2)"
223;21100437107;"Borsa Istanbul Review";journal;"22148450, 22148469";0,684;Q2;16;43;66;2325;229;66;3,26;54,07;Turkey;Middle East;"Borsa Istanbul Anonim Sirketi";"2013-2020";"Economics and Econometrics (Q2); Finance (Q2)"
224;5700167235;"International Journal of Consumer Studies";journal;"14706423, 14706431";0,678;Q2;64;54;244;3101;586;237;1,96;57,43;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2020";"Applied Psychology (Q2); Economics and Econometrics (Q2); Marketing (Q2); Public Health, Environmental and Occupational Health (Q2)"
225;21100821159;"Climate Change Economics";journal;"20100086, 20100078";0,674;Q2;26;20;59;1025;70;58;1,22;51,25;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2010-2020";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
226;15465;"Pacific Basin Finance Journal";journal;"0927538X";0,671;Q2;52;175;246;9227;716;237;3,12;52,73;Netherlands;Western Europe;"Elsevier";"1993-2020";"Economics and Econometrics (Q2); Finance (Q2)"
227;12915;"Space Policy";journal;"02659646, 1879338X";0,664;Q2;21;50;92;3053;100;88;1,16;61,06;United Kingdom;Western Europe;"Elsevier BV";"1985-2020";"Sociology and Political Science (Q1); Economics and Econometrics (Q2); Space and Planetary Science (Q2)"
228;22736;"Journal of Asian Economics";journal;"10490078";0,660;Q2;43;33;95;1526;188;95;2,12;46,24;Netherlands;Western Europe;"Elsevier";"1990-2020";"Economics and Econometrics (Q2); Finance (Q2)"
229;28708;"National Tax Journal";journal;"00280283";0,656;Q2;55;0;69;0;60;69;0,63;0,00;United States;Northern America;"National Tax Association";"1985, 1989, 1995-2018";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
230;21100465205;"European Research on Management and Business Economics";journal;"24448834";0,641;Q2;14;22;64;1176;252;64;4,98;53,45;Spain;Western Europe;"European Academy of Management and Business Economics";"2016-2020";"Business and International Management (Q1); Economics and Econometrics (Q2); Marketing (Q2); Strategy and Management (Q2)"
231;21100786317;"Frontiers in Energy Research";journal;"2296598X";0,641;Q2;24;149;191;6931;481;182;2,36;46,52;Switzerland;Western Europe;"Frontiers Media S.A.";"2013-2020";"Economics and Econometrics (Q2); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
232;28466;"Economic History Review";journal;"00130117, 14680289";0,636;Q2;47;62;146;6371;130;134;0,98;102,76;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1927-2020";"History (Q1); Economics and Econometrics (Q2)"
233;21995;"Contemporary Economic Policy";journal;"14657287, 10743529";0,635;Q2;47;47;147;1901;222;140;1,37;40,45;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982-2020";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q2); Public Administration (Q2)"
234;23582;"Journal of Real Estate Finance and Economics";journal;"1573045X, 08955638";0,634;Q2;58;80;145;2998;217;138;1,20;37,48;Netherlands;Western Europe;"Springer Netherlands";"1988-2020";"Urban Studies (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
235;20727;"Europe-Asia Studies";journal;"09668136, 14653427";0,626;Q2;55;75;223;5094;311;210;1,13;67,92;United Kingdom;Western Europe;"Routledge";"1993-2020";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
236;23736;"Research in Economics";journal;"10909451, 10909443";0,624;Q2;25;31;126;885;155;125;1,40;28,55;United States;Northern America;"Academic Press Inc.";"1997-2020";"Economics and Econometrics (Q2)"
237;21100268395;"Journal of the Economics of Ageing";journal;"2212828X";0,621;Q2;13;52;83;1884;116;62;1,68;36,23;Netherlands;Western Europe;"Elsevier BV";"2013-2020";"Economics and Econometrics (Q2); Life-span and Life-course Studies (Q2)"
238;25494;"Southern Economic Journal";journal;"00384038";0,621;Q2;55;64;180;2679;224;173;1,01;41,86;United States;Northern America;"Wiley-Blackwell";"1976-2020";"Economics and Econometrics (Q2)"
239;29487;"Structural Change and Economic Dynamics";journal;"0954349X";0,621;Q2;45;121;125;6268;285;117;2,42;51,80;Netherlands;Western Europe;"Elsevier";"1990-2020";"Economics and Econometrics (Q2)"
240;5700168589;"Public Budgeting and Finance";journal;"02751100";0,614;Q2;29;18;69;752;74;66;1,24;41,78;United States;Northern America;"Wiley-Blackwell";"1981-2020";"Economics and Econometrics (Q2); Finance (Q2); Public Administration (Q2)"
241;28994;"Journal of Evolutionary Economics";journal;"09369937, 14321386";0,608;Q2;69;76;148;4938;276;141;1,88;64,97;Germany;Western Europe;"Springer New York";"1991-2020";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q2)"
242;21100886393;"Econometrics";journal;"22251146";0,600;Q2;13;44;145;1510;160;134;1,10;34,32;Switzerland;Western Europe;"MDPI AG";"2013-2020";"Economics and Econometrics (Q2)"
243;23594;"World Economy";journal;"03785920, 14679701";0,592;Q2;64;168;375;7370;474;368;1,13;43,87;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2020";"Political Science and International Relations (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
244;20642;"Empirical Economics";journal;"14358921, 03777332";0,586;Q2;53;349;454;15547;671;422;1,47;44,55;Germany;Western Europe;"Physica-Verlag";"1976-2020";"Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2); Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2)"
245;24356;"Journal of Economics/ Zeitschrift fur Nationalokonomie";journal;"16177134, 09318658";0,583;Q2;30;45;112;1471;150;108;1,36;32,69;Austria;Western Europe;"Springer-Verlag Wien";"1930-1939, 1941-1944, 1948-2020";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q2)"
246;18972;"Information Economics and Policy";journal;"01676245";0,581;Q2;46;19;82;625;143;81;2,11;32,89;Netherlands;Western Europe;"Elsevier";"1983-1984, 1986, 1988-1989, 1993-2020";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2)"
247;65131;"Canadian Journal of Agricultural Economics";journal;"00083976, 17447976";0,580;Q2;35;32;90;1460;103;89;0,93;45,63;United States;Northern America;"Wiley-Blackwell";"1952-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Ecology (Q2); Economics and Econometrics (Q2); Global and Planetary Change (Q3)"
248;19500157803;"Journal of the Knowledge Economy";journal;"18687873, 18687865";0,576;Q2;23;128;198;8286;493;194;2,75;64,73;Germany;Western Europe;"Springer Verlag";"2010-2020";"Economics and Econometrics (Q2)"
249;23633;"Quarterly Review of Economics and Finance";journal;"10629769";0,575;Q2;48;157;292;7610;601;287;2,04;48,47;Netherlands;Western Europe;"Elsevier";"1992-2020";"Economics and Econometrics (Q2); Finance (Q2)"
250;17600155015;"Journal of Entrepreneurship";journal;"09730745, 09713557";0,574;Q2;15;12;33;738;80;33;2,18;61,50;United States;Northern America;"Sage Publications India Pvt. Ltd";"1996-1999, 2009-2020";"Business and International Management (Q2); Economics and Econometrics (Q2); Strategy and Management (Q2)"
251;20091;"Journal of Macroeconomics";journal;"01640704";0,574;Q2;44;89;230;3955;296;229;1,27;44,44;Netherlands;Western Europe;"Elsevier BV";"1979-2020";"Economics and Econometrics (Q2)"
252;4700152459;"Economic Change and Restructuring";journal;"15740277, 15739414";0,572;Q2;18;32;52;1916;118;48;2,53;59,88;Netherlands;Western Europe;"Springer Netherlands";"1996-2002, 2005-2020";"Economics and Econometrics (Q2)"
